YEAR DOY HR    1     2     3   4  5     6     7 
2022   7  2   0.6   2.1  317.  0  44     0 103.8
2022   7  3   0.5   2.4  314.  0  44     1 103.8
2022   7  4   0.4   2.5  311.  0  44     2 103.8
2022   7  5  -0.2   2.4  309.  0  44     3 103.8
2022   7  6  -0.3   2.6  317.  0  44     4 103.8
2022   7  7   0.9   3.3  323.  0  44     4 103.8
2022   7  8   0.8   3.3  322.  0  44     4 103.8
2022   7  9   1.5   2.8  318.  0  44     2 103.8
2022   7 10   3.2   4.2  325.  0  44    -1 103.8
2022   7 11   2.7   4.2  319.  0  44    -3 103.8
2022   7 12   1.3   4.3  316.  0  44    -6 103.8
2022   7 13   0.7   4.4  314.  0  44    -5 103.8
2022   7 14   0.6   4.5  314.  0  44    -1 103.8
2022   7 15   0.4   4.3  314.  0  44     3 103.8
2022   7 16   1.3   3.0  306.  0  44     4 103.8
2022   7 17   1.4   3.2  310.  0  44     5 103.8
2022   7 18   0.2   2.7  300.  0  44     5 103.8
2022   7 19   0.9   3.7  306.  0  44     5 103.8
2022   7 20  -0.3   3.3  298.  0  44     4 103.8
2022   7 21   0.0   3.4  298.  0  44     0 103.8
2022   7 22   0.1   3.6  297.  0  44    -2 103.8
2022   7 23   1.1   4.0  295.  0  44     0 103.8
2022   8  0   1.0   4.2  293.  0  44    -2  99.1
2022   8  1   0.3   3.9  295.  0  44    -1  99.1
2022   8  2   1.2   4.7  289.  0  44     2  99.1
2022   8  3   0.5   5.2  292.  0  44     4  99.1
2022   8  4  -0.7   6.4  296.  0  44     7  99.1
2022   8  5  -0.4   6.6  292.  0  44     8  99.1
2022   8  6  -0.9   7.5  297. 10  44     9  99.1
2022   8  7   0.2   9.3  296. 10  44     9  99.1
2022   8  8  -3.0   9.0  302. 10  44    10  99.1
2022   8  9  -0.5  12.5  302.  7  44    10  99.1
2022   8 10   1.6  19.1  302.  7  44    12  99.1
2022   8 11  -0.3  22.2  310.  7  44    16  99.1
2022   8 12  -2.5  19.5  309. 10  44    16  99.1
2022   8 13  -2.3  18.7  304. 10  44    10  99.1
2022   8 14  -2.5  18.9  302. 10  44    10  99.1
2022   8 15  -2.6  21.9  303. 13  44    12  99.1
2022   8 16  -3.9  17.8  306. 13  44    10  99.1
2022   8 17  -2.8  17.9  310. 13  44    11  99.1
2022   8 18  -3.0  27.5  336. 50  44    25  99.1
2022   8 19  -9.3  32.5  365. 50  44    22  99.1
2022   8 20  -8.7  39.3  371. 50  44     3  99.1
2022   8 21  -6.0  45.2  377. 47  44     0  99.1
2022   8 22  -4.9  44.3  381. 47  44   -14  99.1
2022   8 23   9.5  38.0  398. 47  44   -11  99.1
2022   9  0   8.1  20.4  414. 30  54   -11  98.7
2022   9  1  13.8   8.3  440. 30  54   -16  98.7
2022   9  2   8.5  10.5  443. 30  54   -12  98.7
2022   9  3   7.5   8.9  431. 23  54   -13  98.7
2022   9  4   7.3   9.7  416. 23  54   -13  98.7
2022   9  5   3.9   8.5  424. 23  54   -11  98.7
2022   9  6   1.7  11.6  455. 20  54    -8  98.7
2022   9  7   3.2   8.6  467. 20  54   -14  98.7
2022   9  8  -0.4   5.2  504. 20  54   -18  98.7
2022   9  9  -0.3   2.7  520.  7  54   -25  98.7
2022   9 10  -0.2   2.4  514.  7  54   -26  98.7
2022   9 11  -0.7   2.2  513.  7  54   -24  98.7
2022   9 12  -0.8   2.2  514. 20  54   -26  98.7
2022   9 13  -1.0   2.2  506. 20  54   -27  98.7
2022   9 14  -1.2   2.9  485. 20  54   -26  98.7
2022   9 15  -0.5   3.3  453. 13  54   -21  98.7
2022   9 16   0.7   3.3  449. 13  54   -16  98.7
2022   9 17   0.6   3.2  444. 13  54   -11  98.7
2022   9 18  -0.5   3.5  448. 20  54    -9  98.7
2022   9 19  -1.4   3.6  442. 20  54   -10  98.7
2022   9 20  -1.4   3.9  446. 20  54   -10  98.7
2022   9 21  -0.9   4.4  454. 27  54   -11  98.7
2022   9 22  -1.0   5.3  460. 27  54   -11  98.7
2022   9 23  -2.6   5.9  448. 27  54   -10  98.7
2022  10  0  -1.5   6.2  449. 23  54   -10  98.8
2022  10  1  -0.4   6.3  453. 23  54    -8  98.8
2022  10  2   0.8   6.2  456. 23  54    -4  98.8
2022  10  3   2.9   6.5  439. 20  54    -2  98.8
2022  10  4  -2.5   7.8  445. 20  54     0  98.8
2022  10  5  -0.3   6.2  427. 20  54    -2  98.8
2022  10  6   1.6   5.5  419.  3  54    -3  98.8
2022  10  7   1.6   4.3  419.  3  54    -7  98.8
2022  10  8   2.0   3.0  444.  3  54    -7  98.8
2022  10  9  -0.1   2.7  439.  3  54    -7  98.8
2022  10 10   1.1   2.6  431.  3  54    -8  98.8
2022  10 11   0.9   2.8  428.  3  54    -7  98.8
2022  10 12  -1.4   3.0  421. 10  54   -10  98.8
2022  10 13  -0.7   2.8  419. 10  54   -13  98.8
2022  10 14  -1.3   3.1  413. 10  54    -9  98.8
2022  10 15  -1.4   3.2  413. 20  54   -10  98.8
2022  10 16  -2.0   3.1  422. 20  54   -12  98.8
2022  10 17  -2.3   3.5  418. 20  54   -14  98.8
2022  10 18  -2.3   3.6  414. 23  54   -13  98.8
2022  10 19  -1.9   4.4  414. 23  54   -13  98.8
2022  10 20  -1.6   4.6  415. 23  54   -12  98.8
2022  10 21  -1.3   4.8  400. 17  54   -11  98.8
2022  10 22  -1.9   4.5  402. 17  54   -10  98.8
2022  10 23  -1.5   5.1  407. 17  54    -6  98.8
2022  11  0  -1.4   5.8  393.  7  51    -4  96.7
2022  11  1  -1.7   5.6  397.  7  51    -4  96.7
2022  11  2  -1.8   6.1  405.  7  51    -6  96.7
2022  11  3  -2.5   7.3  396. 13  51    -9  96.7
2022  11  4  -0.2   8.0  403. 13  51    -9  96.7
2022  11  5  -0.6   6.5  397. 13  51    -7  96.7
2022  11  6  -0.3   5.1  398.  7  51    -7  96.7
2022  11  7   0.5   4.8  391.  7  51    -6  96.7
2022  11  8  -0.9   5.2  390.  7  51    -4  96.7
2022  11  9   1.6   6.7  386. 10  51    -2  96.7
2022  11 10  -0.4   7.5  385. 10  51    -2  96.7
2022  11 11   0.7   8.0  379. 10  51    -1  96.7
2022  11 12   0.6   6.8  386. 13  51    -1  96.7
2022  11 13  -2.2   6.5  389. 13  51    -6  96.7
2022  11 14  -0.1   6.5  388. 13  51    -9  96.7
2022  11 15  -2.2   6.8  401. 20  51   -11  96.7
2022  11 16   0.3   6.7  382. 20  51   -16  96.7
2022  11 17   0.6   5.8  381. 20  51   -11  96.7
2022  11 18   2.8   4.4  371.  7  51    -6  96.7
2022  11 19   1.4   3.7  357.  7  51    -3  96.7
2022  11 20   2.1   3.5  359.  7  51    -1  96.7
